id,Predicted
114982,367509.8761607931
95653,499175.5373995162
40303,350328.6772147856
109506,313725.2615373804
100149,427615.85123451066
7610,359119.10614259733
61101,297951.4861516724
68167,514622.79832610727
65701,335056.82172839023
56039,272608.72568196943
81919,440795.69673911866
99768,438257.63634759444
124053,669539.0579520519
3942,385084.17809712765
118904,499225.23025118484
30060,397740.165859505
185729,569083.4078492916
46357,751930.3992454156
20662,412676.4538624517
102274,511527.17988145904
53369,248105.60689839243
9719,370489.96481168317
20145,309409.2800298495
159051,618662.6909484827
31481,272284.82951731444
142247,372152.6094044966
29119,337267.57499684195
151448,408335.56817813765
60594,268811.85341288813
83400,518316.79198565846
40168,284144.04555559444
52407,402274.76045866753
127232,475535.0017319572
131188,398598.496720755
952,202464.33506657503
166230,478646.4762647986
144844,386311.28671850945
33207,319751.38172860176
28355,718064.22483371
179918,647839.326126724
162451,750981.3293003717
19390,273306.42260444944
114861,429161.1068411757
132259,343781.83931349486
180033,695780.1702502343
97052,481942.02390685194
94224,388778.07871961116
32295,458988.4085866487
171908,761736.2901711473
80236,505088.2909530305
156193,435766.8476975994
54494,318800.71725815925
174530,619760.8857817394
143835,343753.1650988585
26275,372902.6441800891
61627,681454.0812258291
49813,357398.0487123287
3466,484371.5215745037
117691,495942.4392204538
132738,593246.4685801056
114211,562361.0696889961
116741,492569.3219128487
39246,418368.8144327676
150011,336469.833457668
182319,537608.3069321922
32441,320898.4294011289
18842,392338.6162124714
99428,391441.2906198704
96435,411708.6296917145
134803,364642.0467545674
171636,591026.2805278361
115944,502425.401985718
149001,503915.0917824765
19084,372746.7949021245
178128,687371.0040647788
74818,402352.113152882
49603,276979.0680211041
86262,643978.0951256203
14520,267368.60673135245
57209,762081.9340486506
148575,636133.6432260814
33,183644.32968144567
180401,676292.5536663437
87114,469748.0086576445
16450,350777.1178614058
28848,379700.64390462136
11519,208156.18111728295
7202,318690.71835553995
2843,275791.1585707776
156073,499663.22345282824
132217,429254.72102170007
140349,516120.92425190186
34614,321670.20259190426
135594,407652.4029854371
170933,694214.631655487
62586,415650.781931722
145868,383756.10062319797
15155,204706.0375320529
61290,324641.5661295471
184569,586589.5264668823
169996,454094.55394361046
7026,385372.42781143426
128356,394778.7083575959
134501,491753.08913553023
163406,589763.5654443679
56796,411493.0172441989
174870,695011.3889904596
142554,494736.7811842272
59547,264968.02635134326
143113,463389.59359533386
154091,516066.4985258195
61191,561806.0839606324
135899,439344.0515163566
172405,579781.7392094659
184121,574082.7063617713
1063,364523.7768272207
6348,321790.85256405536
79995,560241.6018730251
50573,358861.20989399566
79894,435083.7765116351
113553,362713.49412364163
31931,371419.9031563615
86645,367580.09703658207
123780,377448.7760160888
142940,490729.09092671913
138987,511615.5343656014
41502,246647.49451377068
100104,519825.4333398125
83570,448315.53413978807
181648,657699.2739296138
68406,438863.1582160449
114567,330262.0450776726
5470,410168.67019560694
176926,800600.8949437372
173013,456539.1121292926
110219,394558.5166278312
52178,222721.90764124307
120569,489404.66195970686
132710,458492.47444314015
10478,427424.38318889623
100309,787238.8073043362
76446,346147.5208739616
140674,425933.6382273851
122786,556000.089427426
66214,449716.2581390954
120240,283067.91176282614
113802,367771.90476937935
169747,532006.9767884298
45819,413889.62349993974
36170,306662.063549786
84049,472935.2085573142
104675,351238.5114955681
66165,819862.6583477473
92499,354143.9690768498
107783,524205.685488354
148441,502315.8501533667
12344,278671.5044737012
93256,546110.988693663
