Id,Predicted
114982,500000
95653,500000
40303,500000
109506,500000
100149,500000
7610,500000
61101,500000
68167,500000
65701,500000
56039,500000
81919,500000
99768,500000
124053,500000
3942,500000
118904,500000
30060,500000
185729,500000
46357,500000
20662,500000
102274,500000
53369,500000
9719,500000
20145,500000
159051,500000
31481,500000
142247,500000
29119,500000
151448,500000
60594,500000
83400,500000
40168,500000
52407,500000
127232,500000
131188,500000
952,500000
166230,500000
144844,500000
33207,500000
28355,500000
179918,500000
162451,500000
19390,500000
114861,500000
132259,500000
180033,500000
97052,500000
94224,500000
32295,500000
171908,500000
80236,500000
156193,500000
54494,500000
174530,500000
143835,500000
26275,500000
61627,500000
49813,500000
3466,500000
117691,500000
132738,500000
114211,500000
116741,500000
39246,500000
150011,500000
182319,500000
32441,500000
18842,500000
99428,500000
96435,500000
134803,500000
171636,500000
115944,500000
149001,500000
19084,500000
178128,500000
74818,500000
49603,500000
86262,500000
14520,500000
57209,500000
148575,500000
33,500000
180401,500000
87114,500000
16450,500000
28848,500000
11519,500000
7202,500000
2843,500000
156073,500000
132217,500000
140349,500000
34614,500000
135594,500000
170933,500000
62586,500000
145868,500000
15155,500000
61290,500000
184569,500000
169996,500000
7026,500000
128356,500000
134501,500000
163406,500000
56796,500000
174870,500000
142554,500000
59547,500000
143113,500000
154091,500000
61191,500000
135899,500000
172405,500000
184121,500000
1063,500000
6348,500000
79995,500000
50573,500000
79894,500000
113553,500000
31931,500000
86645,500000
123780,500000
142940,500000
138987,500000
41502,500000
100104,500000
83570,500000
181648,500000
68406,500000
114567,500000
5470,500000
176926,500000
173013,500000
110219,500000
52178,500000
120569,500000
132710,500000
10478,500000
100309,500000
76446,500000
140674,500000
122786,500000
66214,500000
120240,500000
113802,500000
169747,500000
45819,500000
36170,500000
84049,500000
104675,500000
66165,500000
92499,500000
107783,500000
148441,500000
12344,500000
93256,500000
48139,500000
101908,500000
134084,500000
17216,500000
185201,500000
185016,500000
25318,500000
65253,500000
57696,500000
30939,500000
128338,500000
104156,500000
41455,500000
126390,500000
165803,500000
108253,500000
15221,500000
129322,500000
86142,500000
150957,500000
97028,500000
3219,500000
172533,500000
147313,500000
168865,500000
138278,500000
82280,500000
4380,500000
4327,500000
109861,500000
45273,500000
102888,500000
77664,500000
58355,500000
91308,500000
169692,500000
154931,500000
123897,500000
43550,500000
94084,500000
63629,500000
163153,500000
165076,500000
55701,500000
19310,500000
18205,500000
59608,500000
60785,500000
51513,500000
145397,500000
101693,500000
164688,500000
82863,500000
1754,500000
5376,500000
130074,500000
102843,500000
29760,500000
130642,500000
31347,500000
24205,500000
165100,500000
81514,500000
116369,500000
84639,500000
97982,500000
91083,500000
149132,500000
41826,500000
52033,500000
21665,500000
62257,500000
10102,500000
23904,500000
179693,500000
144227,500000
120211,500000
173440,500000
46749,500000
96942,500000
183177,500000
35398,500000
30263,500000
48194,500000
129424,500000
110123,500000
60370,500000
33837,500000
108049,500000
78656,500000
7172,500000
66304,500000
78058,500000
176324,500000
165880,500000
93902,500000
116039,500000
151166,500000
40210,500000
98367,500000
160925,500000
104371,500000
78415,500000
83660,500000
121434,500000
78336,500000
52510,500000
64261,500000
97749,500000
172084,500000
52569,500000
57400,500000
169875,500000
58398,500000
183622,500000
48753,500000
130190,500000
108466,500000
157786,500000
95190,500000
87452,500000
142203,500000
130773,500000
168853,500000
64684,500000
57446,500000
153747,500000
159666,500000
71555,500000
134319,500000
93943,500000
109872,500000
177223,500000
93784,500000
6380,500000
132297,500000
125110,500000
36843,500000
121955,500000
82973,500000
103986,500000
97824,500000
64151,500000
165946,500000
159307,500000
131434,500000
8556,500000
37868,500000
14032,500000
21341,500000
135288,500000
50116,500000
97940,500000
162134,500000
166998,500000
137392,500000
1460,500000
171905,500000
175067,500000
172514,500000
17738,500000
67047,500000
124014,500000
185762,500000
1311,500000
119140,500000
142546,500000
114400,500000
22406,500000
92766,500000
60485,500000
91648,500000
132526,500000
25180,500000
48904,500000
146550,500000
19407,500000
47699,500000
2620,500000
174106,500000
112846,500000
83926,500000
64285,500000
5733,500000
87638,500000
53604,500000
53244,500000
82872,500000
66096,500000
173642,500000
145405,500000
90156,500000
180075,500000
5153,500000
